fast,normal
41,47
41,49
41,46
38,49
41,48
39,49
44,48
37,48
40,47
43,47
34,45
38,47
32,43
43,48
42,50
41,49
41,49
46,49
40,50
42,50
40,50
43,49
42,49
43,48
43,49
33,46
39,47
32,42
42,49
32,43
31,43
32,43
32,43
43,49
37,51
40,51
42,48
37,50
43,47
41,46
39,50
41,49
41,46
43,49
40,47
42,46
43,49
41,50
36,46
37,48
32,42
42,49
32,42
31,43
33,43
32,42
32,42
41,49
43,48
39,48
42,48
37,51
38,48
40,49
43,52
40,48
41,47
40,50
41,47
41,48
44,49
43,48
39,45
41,49
33,44
33,44
32,43
32,42
45,49
42,49
40,48
42,50
43,51
44,49
43,48
44,48
42,49
40,50
44,49
43,49
40,47
40,49
42,47
42,50
42,49
42,47
37,44
41,50
32,42
32,43
32,43
32,43
41,47
38,49
40,49
44,47
42,49
42,48
44,48
39,45
44,47
31,42
42,50
44,50
41,47
40,48
42,50
42,49
41,50
43,49
41,48
39,47
42,48
46,49
42,45
41,48
40,47
42,46
43,49
40,48
41,49
41,50
41,48
41,49
39,48
39,47
34,44
43,44
32,43
42,49
32,43
32,43
32,44
31,44
31,43
37,46
39,49
36,46
44,49
46,49
43,50
38,48
40,49
42,48
42,47
38,46
42,48
41,49
43,49
42,48
37,48
41,47
42,49
43,51
41,48
42,49
41,49
43,50
37,48
42,48
32,43
31,43
32,42
32,44
33,42
41,48
40,50
43,48
38,48
41,48
45,49
44,47
40,49
42,50
38,48
40,48
39,49
40,48
42,48
40,48
41,48
41,52
42,48
40,47
42,49
41,50
41,47
42,47
44,49
43,50
41,48
46,49
34,48
39,48
31,43
44,48
32,43
31,43
32,43
33,43
42,48
42,51
43,49
42,48
43,49
38,48
42,48
39,49
40,50
42,48
44,49
39,48
39,45
38,47
31,43
41,47
32,44
31,44
32,42
32,43
42,48
40,48
40,47
37,45
44,48
40,48
39,48
41,50
42,47
42,47
42,48
41,47
43,47
40,48
42,48
35,46
43,49
42,47
46,48
43,48
43,46
41,49
46,50
44,49
36,44
40,48
31,43
43,48
32,42
32,42
33,42
32,44
31,42
42,47
39,49
40,48
40,49
40,48
39,48
37,47
36,49
32,42
45,48
44,49
46,48
41,45
42,49
43,47
45,49
40,48
43,47
41,48
46,49
42,46
31,44
36,46
31,43
43,49
43,45
38,48
40,48
42,50
33,41
34,40
35,42
32,39
34,40
34,40
34,40
35,41
35,40
35,39
30,38
30,39
27,36
37,42
27,35
27,36
27,36
26,35
26,35
36,38
34,42
35,41
34,42
36,41
35,39
35,41
36,42
36,40
32,39
36,40
34,40
34,40
36,42
33,40
29,37
32,41
26,36
31,40
35,43
35,41
36,40
31,37
35,39
26,36
27,35
27,36
26,36
33,40
36,41
35,40
32,39
34,40
35,40
34,40
36,40
34,40
31,40
33,41
27,36
26,36
27,36
35,40
27,37
30,38
34,41
33,41
33,40
35,40
32,41
34,40
37,41
36,40
32,40
35,43
35,39
34,40
34,41
37,39
36,40
34,40
35,41
31,41
32,38
34,37
26,36
36,41
35,43
34,41
34,40
34,41
34,40
34,40
36,40
36,38
36,40
33,40
33,37
29,38
34,38
29,35
37,39
36,42
34,40
34,40
32,40
36,39
34,39
36,41
36,39
33,40
34,39
32,39
34,40
33,41
36,41
28,37
33,37
26,35
